"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1974-06-21","1.22","74","81","72"
"BRM00082900","RECIFE, BR","1974-06-22","0.75","78",,"70"
"BRM00082900","RECIFE, BR","1974-06-30","0.67","73","81","70"
"BRM00082900","RECIFE, BR","1974-07-11","0.04","74","82","72"
"BRM00082900","RECIFE, BR","1974-07-14","0.31","73","81","70"
"BRM00082900","RECIFE, BR","1974-07-18","0.16","74","81","70"
"BRM00082900","RECIFE, BR","1974-07-20","0.08","77","81","73"
"BRM00082900","RECIFE, BR","1974-07-22","0.20","74","81","70"
"BRM00082900","RECIFE, BR","1974-07-24","0.00","75","81","70"
"BRM00082900","RECIFE, BR","1974-08-03","0.04","76","81","70"
"BRM00082900","RECIFE, BR","1974-08-09","0.00","77","81","68"
"BRM00082900","RECIFE, BR","1974-08-26","0.31","77","81","72"
"BRM00082900","RECIFE, BR","1974-08-27","0.16","76","81","72"
"BRM00082900","RECIFE, BR","1974-08-28","0.00","76","81","68"
"BRM00082900","RECIFE, BR","1974-09-08","0.28","76","82","72"
"BRM00082900","RECIFE, BR","1974-09-10","0.00","74","82","64"
"BRM00082900","RECIFE, BR","1974-09-12","0.55","76",,"70"
"BRM00082900","RECIFE, BR","1974-09-20","0.04","77","82","70"
"BRM00082900","RECIFE, BR","1974-09-21","0.28","74","81","70"
"BRM00082900","RECIFE, BR","1974-09-22","0.08","76","81","68"
"BRM00082900","RECIFE, BR","1977-11-19","0.00","81","88","77"
"BRM00082900","RECIFE, BR","1977-12-24","0.00","84","88","73"
"BRM00082900","RECIFE, BR","1978-01-11","0.00","83","88","72"
"BRM00082900","RECIFE, BR","1978-02-18","0.16","72","86",
"BRM00082900","RECIFE, BR","1978-02-24","0.12","82","86","75"
"BRM00082900","RECIFE, BR","1978-03-16","0.43","80",,"75"
"BRM00082900","RECIFE, BR","1978-03-17","0.71","81",,"73"
"BRM00082900","RECIFE, BR","1978-04-20","0.00","77","86","72"
"BRM00082900","RECIFE, BR","1978-04-23","1.61","81",,"73"
"BRM00082900","RECIFE, BR","1978-04-24","0.01","78","86","75"
"BRM00082900","RECIFE, BR","1978-05-25","0.08","79","86","72"
"BRM00082900","RECIFE, BR","1978-07-30","0.63","76","81","72"
"BRM00082900","RECIFE, BR","1978-08-25","0.00","76","81","64"
"BRM00082900","RECIFE, BR","1978-09-09","0.02","78","84","70"
"BRM00082900","RECIFE, BR","1978-11-23","0.00","81","84","70"
"BRM00082900","RECIFE, BR","1978-12-01","0.04","78","84",
"BRM00082900","RECIFE, BR","1978-12-02","0.31","80","84","77"
"BRM00082900","RECIFE, BR","1978-12-04","0.39","79","84","75"
"BRM00082900","RECIFE, BR","1978-12-07","0.12","79","86","73"
"BRM00082900","RECIFE, BR","1978-12-09","0.08","79","84","73"
"BRM00082900","RECIFE, BR","1978-12-10","0.00","79","86","72"
"BRM00082900","RECIFE, BR","1978-12-11","0.00","80","86","72"
"BRM00082900","RECIFE, BR","1978-12-12","0.00","80","86","73"
